Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,60.55,44.83,536.79,2.09,0.47,1.00,15.27,11.54,7.60,0.00,213.14,9.94,86.20,0.00
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,53.05,60.82,87.68,10.87,0.00,2.38,20.06,23.90,3.63,0.00,55.81,1.29,145.05,0.00
3M India,523395,3MINDIA,Diversified - Large,25720.00,75.00,2789.38,3.06,0.01,13.04,9.32,6.90,133.58,0.00,29010.98,937.15,31000.00,0.00
3P Land Hold.,516092,3PLAND,Finance & Investments,13.42,73.30,1.43,30.00,0.00,0.52,0.24,-0.37,,0.00,23.29,0.17,77.55,0.00
52 Weeks Enter.,531925,,Entertainment / Electronic Media Software,2.26,9.43,0.00,22.32,0.19,0.44,-28.85,-41.75,,0.00,7.88,0.00,315.00,0.00
5Paisa Capital,540776,5PAISA,Finance & Investments,487.50,29.97,211.54,1.45,1.50,9.19,10.82,9.98,74.91,0.00,1430.08,524.28,580.00,0.00
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,107.30,45.63,162.26,5.98,0.00,0.16,-0.36,-2.05,,1.86,494.18,1224.32,3048.00,-14.53
7NR Retail Ltd,540615,,Trading,12.92,29.86,2.65,54.76,0.01,1.35,-5.00,-5.04,,0.00,13.54,0.85,239.50,0.00
7Seas Enter.,540874,,Computers - Software - Medium / Small,23.80,50.04,0.01,0.03,,,,,13.99,0.00,26.45,0.00,23.80,0.00
A & M Febcon,540697,,Engineering,1.76,15.25,10.78,18.06,0.61,0.17,2.58,0.00,,0.00,2.25,0.87,22.00,
A and M Jumbo,535046,AMJUMBO,Packaging,8.15,39.26,2.69,1.68,0.57,0.82,3.30,0.29,285.33,0.00,8.56,0.18,24.00,0.00
A B B,500002,ABB,Electric Equipment,1830.70,75.00,6367.04,1.62,0.01,10.41,7.22,4.91,131.49,0.27,38757.20,2206.57,1943.90,48.33
A B Infrabuild,535343,ABINFRA,Construction,7.35,59.19,61.78,1.75,0.92,0.35,8.29,4.68,7.11,0.00,9.31,2.11,26.70,0.00
A B M Internatl.,533028,ABMINTLLTD,Trading,144.80,74.70,154.41,3.32,0.00,5.94,66.35,56.44,14.22,0.00,136.23,10.51,213.60,0.00
A F Enterprises,538351,,Trading,39.75,7.99,37.70,1.05,0.32,3.74,,,,0.00,40.20,1.83,648.00,0.00
A Infrastructure,539620,,Cement Products,31.90,73.95,279.86,2.05,1.19,2.21,12.23,10.68,19.32,0.31,136.04,8.04,54.25,6.92
