Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
KEI Industries,517569,KEI,Cables - Power,963.55,39.23,4453.74,2.82,0.17,4.88,21.38,16.64,28.84,0.21,8681.72,221.24,1053.95,6.57
Kellton Tech,519602,KELLTONTEC,Computers - Software - Medium / Small,50.95,52.22,799.93,4.81,0.26,1.17,18.48,16.99,6.73,0.49,491.10,38.82,123.26,3.39
Keltech Energies,506528,,Chemicals,812.70,54.23,250.79,1.59,0.35,1.27,11.37,8.36,16.12,0.18,81.27,9.81,2169.00,7.98
Kemistar Corp.,531163,,Trading,39.45,74.78,15.11,1.17,0.14,2.62,3.57,2.49,117.92,0.00,42.45,0.33,54.70,0.00
Kemp & Co.,506530,,Construction,733.10,70.31,2.46,2.65,0.00,0.56,-0.56,-0.51,,0.00,79.17,0.36,1099.00,0.00
Kennametal India,505890,KENNAMET,Engineering,1416.50,75.00,811.40,2.34,0.00,5.43,15.91,11.99,46.23,1.41,3113.22,114.60,1499.90,0.00
Kenvi Jewels,540953,,Diamond Cutting / Jewellery,14.40,65.10,39.86,17.55,0.09,1.14,3.48,2.22,52.00,0.00,14.56,0.06,20.10,0.00
Kerala Ayurveda,530163,,Pharmaceuticals - Indian - Formulations,60.20,61.52,64.82,1.84,22.49,18.63,-0.43,-85.36,,0.00,63.57,18.56,148.40,0.00
Kernex Microsys.,532686,KERNEX,Electronics - Components,81.90,22.34,19.42,6.21,0.32,1.63,4.42,3.08,146.26,0.00,102.38,17.70,363.59,0.00
Kesar Enterprise,507180,KESARENT,Sugar,90.40,70.57,534.78,0.58,1.56,0.68,32.90,97.58,1.08,0.00,91.12,25.51,175.79,0.00
Kesar Petroprod.,524174,,Chemicals,5.64,63.85,141.65,2.72,0.18,0.62,1.62,1.00,48.68,0.00,54.52,12.79,74.80,0.00
